event_id,threshold,entry_date,triggered,low_date,days_from_low,entry_drawdown,low_drawdown,fwd_21d,fwd_63d
9,12,2021-05-20T00:00:00,True,2021-05-12T00:00:00,8.0,-0.038537200035457686,-0.0734481816853787,0.04844296852351615,0.1081171438517401
10,12,2021-10-14T00:00:00,True,2021-10-04T00:00:00,10.0,-0.039448202148890665,-0.07615393977967622,0.07656232262762774,0.03140036625721532
11,12,2022-01-31T00:00:00,True,2022-11-03T00:00:00,-276.0,-0.10020312252778507,-0.35118714912770055,-0.043602764489804824,-0.12168085943443974
12,12,2023-08-24T00:00:00,True,2023-08-18T00:00:00,6.0,-0.06356614132175509,-0.07157651690455447,-0.003015903442952328,0.08140377690652634
13,12,2023-10-16T00:00:00,True,2023-10-26T00:00:00,-10.0,-0.0409480373239568,-0.10779945251606837,0.043095805340046756,0.10510826682020746
14,12,,False,2024-04-19T00:00:00,,,-0.07108293455329961,,
15,12,2024-07-31T00:00:00,True,2024-08-07T00:00:00,-7.0,-0.06340474701755605,-0.13557739553521508,-0.000870329824563254,0.06324505830064231
16,12,2025-03-17T00:00:00,True,2025-04-08T00:00:00,-22.0,-0.10518635655204045,-0.22768317249200065,-0.0499140168927209,0.10836800986441464
17,12,2025-11-28T00:00:00,True,2025-11-20T00:00:00,8.0,-0.025984179286770992,-0.07880207882684143,0.0015793064070082075,-0.027282975700147594
18,12,2026-04-06T00:00:00,True,2026-03-30T00:00:00,7.0,-0.07198946750344415,-0.11964363794311839,0.15821573187698568,
19,12,,False,2026-06-10T00:00:00,,,-0.07031997684181479,,
1,13,,False,2018-02-08T00:00:00,,,-0.10226426618565776,,
2,13,2018-04-13T00:00:00,True,2018-04-02T00:00:00,11.0,-0.0715086132513496,-0.10522597980872284,0.051930503008446705,0.1154146894196646
3,13,2018-12-31T00:00:00,True,2018-12-24T00:00:00,7.0,-0.17007707377921522,-0.22796623824208295,0.0901073631946252,0.18671372567058087
4,13,2019-06-06T00:00:00,True,2019-06-03T00:00:00,3.0,-0.07063977840674418,-0.1098320321251457,0.0704882299268188,0.08216880145839633
5,13,,False,2019-08-05T00:00:00,,,-0.0745557450174823,,
6,13,2020-03-24T00:00:00,True,2020-03-16T00:00:00,8.0,-0.2233461662946582,-0.2855936425707133,0.14624848879750907,0.357251024706815
7,13,2020-09-15T00:00:00,True,2020-09-23T00:00:00,-8.0,-0.07828039427136035,-0.12749406591375545,0.0465853357415682,0.08951531764359477
8,13,,False,2021-03-08T00:00:00,,,-0.10851519618796535,,
9,13,2021-05-26T00:00:00,True,2021-05-12T00:00:00,14.0,-0.023040763705856393,-0.0734481816853787,0.04709360435798238,0.12302060649642077
10,13,,False,2021-10-04T00:00:00,,,-0.07615393977967622,,
11,13,2022-01-31T00:00:00,True,2022-11-03T00:00:00,-276.0,-0.10020312252778507,-0.35118714912770055,-0.043602764489804824,-0.12168085943443974
12,13,,False,2023-08-18T00:00:00,,,-0.07157651690455447,,
13,13,2023-10-16T00:00:00,True,2023-10-26T00:00:00,-10.0,-0.0409480373239568,-0.10779945251606837,0.043095805340046756,0.10510826682020746
14,13,,False,2024-04-19T00:00:00,,,-0.07108293455329961,,
